Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,OPPONENT
1610612761,0022400247,"NOV 18, 2024",TOR vs. IND,W,3,12,0.2,240,48,82,0.585,14,29,0.483,20,28,0.714,10,36,46,27,5,9,23,26,130,TOR,IND
1610612761,0022400230,"NOV 16, 2024",TOR @ BOS,L,2,12,0.143,265,50,98,0.51,9,23,0.391,14,21,0.667,15,31,46,35,3,2,9,19,123,TOR,BOS
1610612761,0022400011,"NOV 15, 2024",TOR vs. DET,L,2,11,0.154,240,35,97,0.361,8,31,0.258,17,22,0.773,17,36,53,21,7,6,14,13,95,TOR,DET
1610612761,0022400005,"NOV 12, 2024",TOR @ MIL,L,2,10,0.167,240,30,86,0.349,9,25,0.36,16,20,0.8,17,37,54,20,11,6,21,11,85,TOR,MIL
1610612761,0022400211,"NOV 10, 2024",TOR @ LAL,L,2,9,0.182,240,37,82,0.451,10,29,0.345,19,22,0.864,12,28,40,26,2,2,16,23,103,TOR,LAL
1610612761,0022400200,"NOV 09, 2024",TOR @ LAC,L,2,8,0.2,240,40,95,0.421,11,37,0.297,12,21,0.571,12,32,44,26,8,5,10,23,103,TOR,LAC
1610612761,0022400180,"NOV 06, 2024",TOR @ SAC,L,2,7,0.222,240,43,88,0.489,10,34,0.294,11,15,0.733,8,26,34,25,7,1,11,23,107,TOR,SAC
1610612761,0022400166,"NOV 04, 2024",TOR @ DEN,L,2,6,0.25,240,47,103,0.456,13,39,0.333,12,18,0.667,14,27,41,38,12,3,13,27,119,TOR,DEN
1610612761,0022400143,"NOV 02, 2024",TOR vs. SAC,W,2,5,0.286,265,46,95,0.484,17,37,0.459,22,31,0.71,12,34,46,31,13,3,19,25,131,TOR,SAC
1610612761,0022400137,"NOV 01, 2024",TOR vs. LAL,L,1,5,0.167,240,52,107,0.486,10,35,0.286,11,13,0.846,15,29,44,35,4,6,11,29,125,TOR,LAL
1610612761,0022400117,"OCT 30, 2024",TOR @ CHA,L,1,4,0.2,240,52,91,0.571,9,28,0.321,20,30,0.667,13,28,41,37,9,5,14,25,133,TOR,CHA
1610612761,0022400107,"OCT 28, 2024",TOR vs. DEN,L,1,3,0.25,265,49,109,0.45,10,35,0.286,17,21,0.81,18,36,54,30,7,7,15,27,125,TOR,DEN
1610612761,0022400093,"OCT 26, 2024",TOR @ MIN,L,1,2,0.333,240,41,90,0.456,10,29,0.345,9,13,0.692,12,34,46,29,9,4,20,22,101,TOR,MIN
1610612761,0022400078,"OCT 25, 2024",TOR vs. PHI,W,1,1,0.5,240,35,76,0.461,6,23,0.261,39,46,0.848,18,36,54,25,11,13,26,34,115,TOR,PHI
1610612761,0022400067,"OCT 23, 2024",TOR vs. CLE,L,0,1,0.0,240,36,86,0.419,12,31,0.387,22,29,0.759,14,24,38,25,8,6,18,24,106,TOR,CLE
